question,document
My Kestra flow is getting a 404 error because the Gemini model is unavailable. What should I do?,d51bbe2da0
How can I change the Gemini model ID in my Kestra YAML file if the current one isn't working?,d51bbe2da0
"If I'm using Kestra with Docker Compose and face a Gemini model unavailability issue, where should I update the model name?",d51bbe2da0
"After I replace the Gemini model ID, what steps do I need to take to rerun my Kestra flow or update my Docker Compose services?",d51bbe2da0
Where can I find an official list of available Gemini models to ensure I'm using a supported one?,d51bbe2da0
What exactly should I upload to my GitHub repository for the Module 3 Kestra homework?,f29f622684
Do I need to include any custom scripts that my Kestra flows might call in the repo?,f29f622684
Is a README file required as part of the Module 3 homework submission?,f29f622684
What's the suggested folder structure for placing the Kestra flow YAML files in my repository?,f29f622684
Where do I submit the specific answers to questions like Q1 and Q2 for the homework?,f29f622684
Why do I get a JSONDecodeError when my LLM generates questions?,a3c7e1b4f9
How can I prevent OpenAI's models from adding extra text or markdown around the JSON output?,a3c7e1b4f9
What's the best way to ensure an LLM only returns a pure JSON object?,a3c7e1b4f9
Should I specify the expected JSON structure in my prompt to avoid parsing errors?,a3c7e1b4f9
Do other LLM providers like Gemini or Groq have settings similar to OpenAI's response_format for enforcing JSON output?,a3c7e1b4f9
"My Jupyter kernel keeps crashing when I try to embed the ground-truth set, what are some ways to fix this memory issue?",b8f2d6a30c
Can I use a different embedding model if my Jupyter kernel is running out of memory during the ground-truth set embedding?,b8f2d6a30c
Is there a way to run the embedding process as a separate script to avoid kernel crashes in the notebook?,b8f2d6a30c
What options do I have for increasing the RAM for my Codespaces machine type if I'm encountering memory problems?,b8f2d6a30c
"Instead of upgrading hardware or switching models, can I process the ground-truth data in batches to manage memory usage better?",b8f2d6a30c
Why am I still encountering rate limits with Gemini even after adding time.sleep(4) to my code?,c1e9f4b820
What are my options if I keep hitting API rate limits when generating ground truth data?,c1e9f4b820
What other free LLM providers can I use for generating ground truth if Gemini's rate limits are too restrictive?,c1e9f4b820
"Is there a way to modify my script to avoid API rate limits, like by changing concurrency, without switching to a different LLM?",c1e9f4b820
What's the best way to prevent losing all my work if I hit a rate limit while generating the ground truth dataset?,c1e9f4b820
"Hey, I noticed that Module 4 goes from lesson 6 right to lesson 11. Are there some missing lessons, or is this intentional?",57c8d3a1e4
Could you clarify the overall structure of Module 4 that causes the lesson numbering to jump from 06 to 11?,57c8d3a1e4
"What are the two main evaluation topics covered in Module 4, given the split in the lesson numbers?",57c8d3a1e4
"How should I interpret the lesson numbering in Module 4, where it seems to start with 01-06 and then continue with 11-15?",57c8d3a1e4
"Just to confirm, are there actually no lessons missing in Module 4 despite the number sequence skipping from 6 to 11?",57c8d3a1e4
I'm encountering an OSError: [WinError 126] error with fbgemm.dll when using PyTorch on Windows. How can I fix this issue?,15e931476c
"Is it necessary to install Visual Studio Code to resolve the fbgemm.dll dependency error, or is there another tool I should use?",15e931476c
What are the primary solutions suggested for the fbgemm.dll loading error on Windows when the module cannot be found?,15e931476c
Could you point me to a resource for more detailed information about troubleshooting PyTorch's fbgemm.dll dependency problems?,15e931476c
Would installing the Visual C++ Redistributable package help with the fbgemm.dll or its dependencies missing error on Windows?,15e931476c
I'm getting a psycopg2.OperationalError about the host name 'postgres' not being found. How do I fix this?,4b65d5542d
"What should I change in my .env file if I encounter a ""No such host is known"" error during setup?",4b65d5542d
My prep.py script fails with an OperationalError when trying to connect to a PostgreSQL host. What's the recommended solution?,4b65d5542d
"How do I resolve the ""could not translate host name 'postgres' to address"" error?",4b65d5542d
What value should POSTGRES_HOST be set to in the .env file to fix connection issues?,4b65d5542d
Why does Pandas only show part of the text content in a dataframe column by default?,641aedbbf5
How can I configure Pandas to display the entire text in a column without truncation?,641aedbbf5
What is the purpose of the `display.max_colwidth` option in Pandas?,641aedbbf5
How do I set the `display.max_colwidth` option to show unlimited text length?,641aedbbf5
How can I see the full judge LLM explanation in the 'Explanation' column of the `offline-rag-evaluation` notebook?,641aedbbf5
How do I normalize a column of vectors in a Pandas DataFrame?,5039707c1a
What's the best way to normalize vector data within a Pandas Series?,5039707c1a
Can you show me a Python code example for normalizing vector columns in Pandas?,5039707c1a
How can I apply vector normalization to a specific column in a DataFrame?,5039707c1a
What's the method to create a new column with normalized vectors from an existing DataFrame column?,5039707c1a
What's the Python command for getting a specific percentile of a dataset column?,b4c8ac5a0c
How can I find the 0.75 quantile of a column using Pandas?,b4c8ac5a0c
Which Pandas method is used to calculate quantiles for a series of numbers?,b4c8ac5a0c
"I need to extract the 75th percentile from a column in my DataFrame, how do I do that?",b4c8ac5a0c
Is there a built-in Pandas function to compute both quantiles and percentiles?,b4c8ac5a0c
"How do I remove all Docker containers, including those currently running?",66ccbb7da0
What's the command to delete every Docker image on my machine?,66ccbb7da0
Is there a simple way to get rid of all Docker volumes?,66ccbb7da0
"How can I perform a full cleanup of Docker by removing all containers, images, and volumes?",66ccbb7da0
What's the terminal command to force-delete all Docker containers?,66ccbb7da0
How can I make sure a user can only give feedback one time for each item in my Streamlit app?,2e729f1271
"I'm using a session variable in Streamlit to track if an action was completed, but it keeps getting reset. What's going on?",2e729f1271
What's the correct way to disable interaction buttons after a user has already clicked one in Streamlit?,2e729f1271
Why would a boolean I'm using in Streamlit's session state re-evaluate to true even after I've set it based on a user interaction?,2e729f1271
Are there common issues with Streamlit's session state when trying to implement a 'one-click-only' feature?,2e729f1271
"I'm getting an ""executable file not found in $PATH"" error for Streamlit when using Docker Compose. How do I fix this?",e8df9f0d12
Do I really need a Dockerfile to get my Streamlit app running properly with Docker Compose?,e8df9f0d12
What should I add to my docker-compose setup so it can find Streamlit within the container?,e8df9f0d12
"After making changes to my Docker setup, what's the correct command to rebuild and launch my Streamlit app?",e8df9f0d12
"My Streamlit app works locally, but I get an ""executable file not found"" error when trying to run it with Docker Compose. Any ideas why?",e8df9f0d12
Is the capstone project something I have to complete on my own?,0fab61eca2
Can I collaborate or discuss my project ideas with other students in the course?,0fab61eca2
What if I want to build a shared system with another student? Is that allowed?,0fab61eca2
"If we do work on a shared system, what are the specific requirements for each person's submission?",0fab61eca2
What happens if the project work cannot be independently assessed for each participant?,0fab61eca2
Do we really have to submit two projects for the capstone?,d5fc98925d
What's the difference between the 'Attempt #1' and 'Attempt #2' submission windows?,d5fc98925d
What happens if my project submission during the first attempt isn't accepted?,d5fc98925d
"If I wanted to, could I submit more than one project, and are there any rules for doing that?",d5fc98925d
"Besides submitting my project, what else do I need to do to make sure it counts for the certification?",d5fc98925d
Does the math Kaggle LLM competition count towards completing the capstone project?,e892d44e42
Can I work with a group of other students on the capstone project?,e892d44e42
Is it possible to form teams for the math Kaggle LLM competition?,e892d44e42
Do I have to participate in the math Kaggle LLM competition?,e892d44e42
What's the difference between the capstone project and the math Kaggle LLM competition?,e892d44e42
How will my capstone project be assessed?,9a2e2d2008
Am I required to grade other students' projects?,9a2e2d2008
What happens if I don't submit my peer reviews for other projects?,9a2e2d2008
How will my final grade for the capstone project be calculated?,9a2e2d2008
Where can I find the guidelines for evaluating other students' projects?,9a2e2d2008
When will we receive the projects to review?,eae0fb50aa
How will the projects be assigned for review and grading?,eae0fb50aa
How many projects will each student be expected to review?,eae0fb50aa
Will every participant be assigned projects to grade?,eae0fb50aa
What is the process for distributing projects for grading after the deadline?,eae0fb50aa
When will I be able to start evaluating other projects after submitting mine?,a8a7fef016
How are projects assigned to me for evaluation?,a8a7fef016
Can I choose which capstone projects I want to review?,a8a7fef016
Will there be an official list released that shows which projects I need to evaluate?,a8a7fef016
What's the timeline for getting projects to review once the submission period has closed?,a8a7fef016
Where can I find some project ideas for the capstone?,e76a70cde3
Are there any recommended datasets I can use for my project?,e76a70cde3
Is there a resource that offers guidance and tips for the project?,e76a70cde3
Where can I look for both project ideas and datasets in one place?,e76a70cde3
What kind of information does the GitHub page for the capstone project contain?,e76a70cde3
Is it mandatory to use an orchestration tool like Airflow or Mage for the capstone project?,d4f7c08ea1
What's the best way to earn full points for the ingestion pipeline criterion?,d4f7c08ea1
Will I lose points if I use a Jupyter notebook for data ingestion instead of a regular Python script?,d4f7c08ea1
In which scenarios would it be appropriate to incorporate an orchestration tool into my project?,d4f7c08ea1
Is it a good idea to add an orchestration tool just to fulfill a project requirement?,d4f7c08ea1
How do I create synthetic test data for evaluating a recommender RAG system?,9b0e2d6a47
What metrics are best for evaluating retrieval performance when using synthetic queries?,9b0e2d6a47
Can an LLM be used to judge the overall quality of a RAG system's output?,9b0e2d6a47
Why is NDCG considered a better metric than hit-rate for ranking-focused RAG systems?,9b0e2d6a47
"When using an LLM to rate RAG results, what kind of rubric or criteria should I specify in the prompt?",9b0e2d6a47
What's the best way to approach the chunking strategy for a large corpus with many long documents?,6f2a8b3d10
"Can you suggest a simple, effective chunking method to start with for my project?",6f2a8b3d10
"Are there any advanced chunking techniques, perhaps using LLMs, that can help segment documents more logically?",6f2a8b3d10
"Would generating a short summary for each chunk be useful, and how could it improve retrieval?",6f2a8b3d10
What are some good tools for preparing and cleaning PDFs into markdown before I apply chunking?,6f2a8b3d10
"What exactly does ""reproducibility"" mean for our capstone project submission?",e5d8a2c761
Do I need to share my personal API keys or any other service credentials with the project reviewers?,e5d8a2c761
How can I ensure reviewers can recreate my project's environment and search index locally without my specific setup?,e5d8a2c761
What's the best practice for handling API keys and sensitive environment variables so reviewers can use their own?,e5d8a2c761
"Are there any recommendations for choosing an LLM model for the project, and how should I manage dependencies for reviewers?",e5d8a2c761
What is the recommended programming language for all homework and the capstone project?,ea815eb858
"Am I allowed to use a language other than Python, like Java or Rust, for my assignments in this course?",ea815eb858
What difficulties might I encounter if I choose a non-Python programming language for my project?,ea815eb858
"If I decide to use a programming language different from Python, what specific documentation requirements must I meet?",ea815eb858
What level of detail is expected in the README for a project submitted in a language other than Python?,ea815eb858
Where can I find examples of past LLM Zoomcamp projects?,930286278d
Are there any previous capstone projects I can look at for inspiration?,930286278d
How can I understand the expected scope and quality of the LLM Zoomcamp capstone project?,930286278d
Is there a place to view submitted repositories from previous LLM Zoomcamp courses?,930286278d
"Can I see projects from specific years, like 2024 or 2025, to help with my own project?",930286278d
Do I need to register or announce my capstone project idea anywhere?,897a350476
Where can I go if I want to get feedback on my project concept?,897a350476
Are there any examples of past projects that I can look at to get an idea of the expected scope?,897a350476
Can I work on a project that has a similar topic to another student's or a previous year's project?,897a350476
What are the rules if my project idea is similar to one that already exists?,897a350476
Can I use a Telegram bot or other chat interface for my Capstone project?,7318a90b14
Are we required to develop a web application for our final project?,7318a90b14
What types of user interfaces are permissible for the Capstone project?,7318a90b14
Do we need to adhere to specific rules about how the end-user interacts with our project?,7318a90b14
Does the course content include instructions for building the different project interfaces?,7318a90b14
What are some good tools for extracting text from PDFs to use in a RAG project?,d8b28c47a0
Which tools are suitable for processing scanned PDF documents that might not have a text layer?,d8b28c47a0
Does the course recommend a specific tool for extracting text from documents for our projects?,d8b28c47a0
Are there any options for converting PDFs into structured formats like Markdown or JSON for RAG implementation?,d8b28c47a0
Can I use an API or a hosted service for OCR instead of setting up a local solution?,d8b28c47a0
Can I use the concepts or code from this dlt workshop for my personal coding projects?,d850a0e7ea
"Is dlt suitable for data handling tasks in other courses, like the MLOps Zoomcamp?",d850a0e7ea
What is the primary function or goal of the dlt tool?,d850a0e7ea
"Given that dlt is open-source, am I free to integrate workshop content into a capstone project?",d850a0e7ea
"If I choose to implement dlt in my own development, is support available for any questions I might have?",d850a0e7ea
How should I start a new dlt project if my data is coming from a cloud source?,6bceeebf04
What's the first command I need to run to set up dlt for loading data from the cloud?,6bceeebf04
Are there official instructions or a guide on how to configure dlt for cloud data ingestion?,6bceeebf04
"If I want to load data that resides in the cloud using dlt, what's the initialization command?",6bceeebf04
Where can I find a step-by-step tutorial for setting up a dlt project to pull data from cloud storage?,6bceeebf04
"Why am I seeing a FileNotFoundError for ""notion_pages___homework"" when I try to open the table?",0407213397
What should I check if db.open_table reports that my table doesn't exist?,0407213397
"Is it possible I need to change ""employee_handbook"" to ""homework"" somewhere in my configuration files?",0407213397
"Which pipeline settings should I review to make sure ""employee_handbook"" has been updated to ""homework""?",0407213397
I'm getting a FileNotFoundError trying to open my table; could this be related to a string mismatch in my setup?,0407213397
I'm running into a FileNotFoundError that says 'Table notion_pages___homework does not exist' when I try to execute main(). What could be causing this?,e95bfafc0e
My program is throwing an error related to 'notion_pages___homework' not being found. How can I resolve this issue?,e95bfafc0e
What's the correct way to handle the FileNotFoundError when a table like 'notion_pages___homework' isn't found by the database?,e95bfafc0e
"I'm encountering an error where it suggests calling db.create_table, but I suspect the problem might be elsewhere with my 'notion_pages___homework' setup. What line should I double-check?",e95bfafc0e
"If I get a FileNotFoundError for a table when running my script, specifically 'notion_pages___homework', is there a particular part of the code I should examine for misconfiguration?",e95bfafc0e
How can I see all the tables present in my database?,e394e6f738
What's the command to list out every table name in the database?,e394e6f738
Is there a method to check which tables currently exist in the database?,e394e6f738
How do I get a list of all table names from the database?,e394e6f738
What's the way to display all the tables stored in the database?,e394e6f738
Does DLT currently integrate with ClickHouse?,cd19f122f3
Are there any DLT connectors for StarRocks available right now?,cd19f122f3
Can users contribute new database connectors to DLT?,cd19f122f3
What's the process if I want to add support for a database not currently in DLT?,cd19f122f3
Is DLT looking for community help to expand its list of supported databases?,cd19f122f3
I'm seeing a '401 Client Error' when trying to use the Notion API in my notebook. What are the first things I should look at to fix this?,0dfba07ace
"If my notebook can't access Notion, should I verify my API key is correct and has the right permissions?",0dfba07ace
Is it possible my Notion API token is expired if I'm encountering an authorization issue?,0dfba07ace
What specific access configurations should I double-check when troubleshooting a Notion API connection error?,0dfba07ace
"I've already checked my Notion API key, but my notebook still can't access it. What other steps can I take to fix this 'Unauthorized' error?",0dfba07ace
I'm encountering an error where `requests` installs v2.28 instead of the v2.32 required by `lancedb`. How can I fix this specific version issue?,4b30b918bc
What is the correct command to install `requests` version 2.32.3 directly from its GitHub source?,4b30b918bc
"If I receive a ""401 Client Error"", what are the common reasons behind it, especially when dealing with API keys?",4b30b918bc
What steps should I take if a 401 Client Error suggests there's an issue with key access or if the key is incorrect?,4b30b918bc
"Is there a way to ensure the `requests` library is installed at a precise version from a specific download link, like a GitHub zip file?",4b30b918bc
